account_id,cost_center_id,created_at,currency,customer_id,delivered_quantity,discount_amount,discount_type,id,order_id,product_id,project_id,quantity,status,unit_price,updated_at,vat_rate
ACCOUN-001,137.50,2026-01-05,SEK,CUSTOM-001,137.50,137.50,137.50,KEY-001,ORDER_-001,PRODUC-001,PROJEC-001,137.50,status_value_1,137.50,2026-01-05,137.50
ACCOUN-002,275.00,2026-01-12,NOK,CUSTOM-002,275.00,275.00,275.00,KEY-002,ORDER_-002,PRODUC-002,PROJEC-002,275.00,status_value_2,275.00,2026-01-12,275.00
ACCOUN-003,412.50,2026-01-19,DKK,CUSTOM-003,412.50,412.50,412.50,KEY-003,ORDER_-003,PRODUC-003,PROJEC-003,412.50,status_value_3,412.50,2026-01-19,412.50
ACCOUN-004,550.00,2026-01-26,EUR,CUSTOM-004,550.00,550.00,550.00,KEY-004,ORDER_-004,PRODUC-004,PROJEC-004,550.00,status_value_4,550.00,2026-01-26,550.00
ACCOUN-005,687.50,2026-02-02,GBP,CUSTOM-005,687.50,687.50,687.50,KEY-005,ORDER_-005,PRODUC-005,PROJEC-005,687.50,status_value_5,687.50,2026-02-02,687.50
ACCOUN-006,825.00,2026-02-09,USD,CUSTOM-006,825.00,825.00,825.00,KEY-006,ORDER_-006,PRODUC-006,PROJEC-006,825.00,status_value_6,825.00,2026-02-09,825.00
ACCOUN-007,962.50,2026-02-16,SEK,CUSTOM-007,962.50,962.50,962.50,KEY-007,ORDER_-007,PRODUC-007,PROJEC-007,962.50,status_value_7,962.50,2026-02-16,962.50
ACCOUN-008,1100.00,2026-02-23,NOK,CUSTOM-008,1100.00,1100.00,1100.00,KEY-008,ORDER_-008,PRODUC-008,PROJEC-008,1100.00,status_value_8,1100.00,2026-02-23,1100.00
ACCOUN-009,1237.50,2026-03-02,DKK,CUSTOM-009,1237.50,1237.50,1237.50,KEY-009,ORDER_-009,PRODUC-009,PROJEC-009,1237.50,status_value_9,1237.50,2026-03-02,1237.50
ACCOUN-010,1375.00,2026-03-09,EUR,CUSTOM-010,1375.00,1375.00,1375.00,KEY-010,ORDER_-010,PRODUC-010,PROJEC-010,1375.00,status_value_10,1375.00,2026-03-09,1375.00
ACCOUN-011,1512.50,2026-03-16,GBP,CUSTOM-011,1512.50,1512.50,1512.50,KEY-011,ORDER_-011,PRODUC-011,PROJEC-011,1512.50,status_value_11,1512.50,2026-03-16,1512.50
ACCOUN-012,1650.00,2026-03-23,USD,CUSTOM-012,1650.00,1650.00,1650.00,KEY-012,ORDER_-012,PRODUC-012,PROJEC-012,1650.00,status_value_12,1650.00,2026-03-23,1650.00
