OrgId,Active,ArticleNumber,Bundle,BundleArticle,CommodityCode,ConstructionAccount,DefaultStockLocation,DefaultStockPoint,Depth,Description,DirectCost,DisposableQuantity,EAN,EUAccount,EUVATAccount,ExportAccount,FreightCost,Height,Manufacturer,ManufacturerArticleNumber,Note,OtherCost,PurchaseAccount,PurchasePrice,SalesAccount,SalesPrice,StockAccount,StockChangeAccount,StockGoods,StockPlace,StockValue,StockWarning,SupplierName,SupplierNumber,Type,Unit,VAT,WebshopArticle,Weight,Width
ORG-1001,false,ART-100,bundle_value_1,bundlearticle_value_1,commoditycode_value_1,constructionaccount_value_1,137.50,137.50,depth_value_1,description_value_1,137.50,137.50,ean_value_1,euaccount_value_1,euvataccount_value_1,exportaccount_value_1,137.50,height_value_1,manufacturer_value_1,MANUFA-001,note_value_1,137.50,purchaseaccount_value_1,137.50,salesaccount_value_1,137.50,137.50,137.50,137.50,137.50,137.50,137.50,Bergen Bygg AS,S-2001,type_value_1,roll,vat_value_1,webshoparticle_value_1,137.50,width_value_1
ORG-1002,true,ART-101,bundle_value_2,bundlearticle_value_2,commoditycode_value_2,constructionaccount_value_2,275.00,275.00,depth_value_2,description_value_2,275.00,275.00,ean_value_2,euaccount_value_2,euvataccount_value_2,exportaccount_value_2,275.00,height_value_2,manufacturer_value_2,MANUFA-002,note_value_2,275.00,purchaseaccount_value_2,275.00,salesaccount_value_2,275.00,275.00,275.00,275.00,275.00,275.00,275.00,Uppsala Livsmedel AB,S-2002,type_value_2,piece,vat_value_2,webshoparticle_value_2,275.00,width_value_2
ORG-1003,true,ART-102,bundle_value_3,bundlearticle_value_3,commoditycode_value_3,constructionaccount_value_3,412.50,412.50,depth_value_3,description_value_3,412.50,412.50,ean_value_3,euaccount_value_3,euvataccount_value_3,exportaccount_value_3,412.50,height_value_3,manufacturer_value_3,MANUFA-003,note_value_3,412.50,purchaseaccount_value_3,412.50,salesaccount_value_3,412.50,412.50,412.50,412.50,412.50,412.50,412.50,Aarhus Elektronik ApS,S-2003,type_value_3,sheet,vat_value_3,webshoparticle_value_3,412.50,width_value_3
ORG-1004,false,ART-103,bundle_value_4,bundlearticle_value_4,commoditycode_value_4,constructionaccount_value_4,550.00,550.00,depth_value_4,description_value_4,550.00,550.00,ean_value_4,euaccount_value_4,euvataccount_value_4,exportaccount_value_4,550.00,height_value_4,manufacturer_value_4,MANUFA-004,note_value_4,550.00,purchaseaccount_value_4,550.00,salesaccount_value_4,550.00,550.00,550.00,550.00,550.00,550.00,550.00,Tampere Kone Oy,S-2001,type_value_4,piece,vat_value_4,webshoparticle_value_4,550.00,width_value_4
ORG-1001,true,ART-104,bundle_value_5,bundlearticle_value_5,commoditycode_value_5,constructionaccount_value_5,687.50,687.50,depth_value_5,description_value_5,687.50,687.50,ean_value_5,euaccount_value_5,euvataccount_value_5,exportaccount_value_5,687.50,height_value_5,manufacturer_value_5,MANUFA-005,note_value_5,687.50,purchaseaccount_value_5,687.50,salesaccount_value_5,687.50,687.50,687.50,687.50,687.50,687.50,687.50,Stavanger Marine AS,S-2002,type_value_5,hour,vat_value_5,webshoparticle_value_5,687.50,width_value_5
ORG-1002,true,ART-105,bundle_value_6,bundlearticle_value_6,commoditycode_value_6,constructionaccount_value_6,825.00,825.00,depth_value_6,description_value_6,825.00,825.00,ean_value_6,euaccount_value_6,euvataccount_value_6,exportaccount_value_6,825.00,height_value_6,manufacturer_value_6,MANUFA-006,note_value_6,825.00,purchaseaccount_value_6,825.00,salesaccount_value_6,825.00,825.00,825.00,825.00,825.00,825.00,825.00,Malmo Emballage AB,S-2003,type_value_6,hour,vat_value_6,webshoparticle_value_6,825.00,width_value_6
ORG-1003,false,ART-100,bundle_value_7,bundlearticle_value_7,commoditycode_value_7,constructionaccount_value_7,962.50,962.50,depth_value_7,description_value_7,962.50,962.50,ean_value_7,euaccount_value_7,euvataccount_value_7,exportaccount_value_7,962.50,height_value_7,manufacturer_value_7,MANUFA-007,note_value_7,962.50,purchaseaccount_value_7,962.50,salesaccount_value_7,962.50,962.50,962.50,962.50,962.50,962.50,962.50,Trondheim Verktoy AS,S-2001,type_value_7,roll,vat_value_7,webshoparticle_value_7,962.50,width_value_7
ORG-1004,true,ART-101,bundle_value_8,bundlearticle_value_8,commoditycode_value_8,constructionaccount_value_8,1100.00,1100.00,depth_value_8,description_value_8,1100.00,1100.00,ean_value_8,euaccount_value_8,euvataccount_value_8,exportaccount_value_8,1100.00,height_value_8,manufacturer_value_8,MANUFA-008,note_value_8,1100.00,purchaseaccount_value_8,1100.00,salesaccount_value_8,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,Odense Papir ApS,S-2002,type_value_8,piece,vat_value_8,webshoparticle_value_8,1100.00,width_value_8
ORG-1001,true,ART-102,bundle_value_9,bundlearticle_value_9,commoditycode_value_9,constructionaccount_value_9,1237.50,1237.50,depth_value_9,description_value_9,1237.50,1237.50,ean_value_9,euaccount_value_9,euvataccount_value_9,exportaccount_value_9,1237.50,height_value_9,manufacturer_value_9,MANUFA-009,note_value_9,1237.50,purchaseaccount_value_9,1237.50,salesaccount_value_9,1237.50,1237.50,1237.50,1237.50,1237.50,1237.50,1237.50,Astrid Lindqvist,S-2003,type_value_9,sheet,vat_value_9,webshoparticle_value_9,1237.50,width_value_9
ORG-1002,false,ART-103,bundle_value_10,bundlearticle_value_10,commoditycode_value_10,constructionaccount_value_10,1375.00,1375.00,depth_value_10,description_value_10,1375.00,1375.00,ean_value_10,euaccount_value_10,euvataccount_value_10,exportaccount_value_10,1375.00,height_value_10,manufacturer_value_10,MANUFA-010,note_value_10,1375.00,purchaseaccount_value_10,1375.00,salesaccount_value_10,1375.00,1375.00,1375.00,1375.00,1375.00,1375.00,1375.00,Henrik Dahl,S-2001,type_value_10,piece,vat_value_10,webshoparticle_value_10,1375.00,width_value_10
ORG-1003,true,ART-104,bundle_value_11,bundlearticle_value_11,commoditycode_value_11,constructionaccount_value_11,1512.50,1512.50,depth_value_11,description_value_11,1512.50,1512.50,ean_value_11,euaccount_value_11,euvataccount_value_11,exportaccount_value_11,1512.50,height_value_11,manufacturer_value_11,MANUFA-011,note_value_11,1512.50,purchaseaccount_value_11,1512.50,salesaccount_value_11,1512.50,1512.50,1512.50,1512.50,1512.50,1512.50,1512.50,Mette Sorensen,S-2002,type_value_11,hour,vat_value_11,webshoparticle_value_11,1512.50,width_value_11
