OrgId,CauseCode,Date,EmployeeId,Hours
ORG-1001,causecode_value_1,2026-01-05,EMPLOY-001,hours_value_1
ORG-1002,causecode_value_2,2026-01-12,EMPLOY-002,hours_value_2
ORG-1003,causecode_value_3,2026-01-19,EMPLOY-003,hours_value_3
ORG-1004,causecode_value_4,2026-01-26,EMPLOY-004,hours_value_4
ORG-1001,causecode_value_5,2026-02-02,EMPLOY-005,hours_value_5
ORG-1002,causecode_value_6,2026-02-09,EMPLOY-006,hours_value_6
ORG-1003,causecode_value_7,2026-02-16,EMPLOY-007,hours_value_7
ORG-1004,causecode_value_8,2026-02-23,EMPLOY-008,hours_value_8
ORG-1001,causecode_value_9,2026-03-02,EMPLOY-009,hours_value_9
ORG-1002,causecode_value_10,2026-03-09,EMPLOY-010,hours_value_10
ORG-1003,causecode_value_11,2026-03-16,EMPLOY-011,hours_value_11
ORG-1004,causecode_value_12,2026-03-23,EMPLOY-012,hours_value_12
