OrgId,Active,Code,Description,Note
ORG-1001,false,code_value_1,description_value_1,note_value_1
ORG-1002,true,code_value_2,description_value_2,note_value_2
ORG-1003,true,code_value_3,description_value_3,note_value_3
ORG-1004,false,code_value_4,description_value_4,note_value_4
ORG-1001,true,code_value_5,description_value_5,note_value_5
ORG-1002,true,code_value_6,description_value_6,note_value_6
ORG-1003,false,code_value_7,description_value_7,note_value_7
ORG-1004,true,code_value_8,description_value_8,note_value_8
ORG-1001,true,code_value_9,description_value_9,note_value_9
ORG-1002,false,code_value_10,description_value_10,note_value_10
ORG-1003,true,code_value_11,description_value_11,note_value_11
ORG-1004,true,code_value_12,description_value_12,note_value_12
