OrgId,Account,Amount,Code,Date,SalaryCode,Text,Total,VAT
ORG-1001,1510,137.50,code_value_1,2026-01-05,salarycode_value_1,text_value_1,137.50,vat_value_1
ORG-1002,1930,275.00,code_value_2,2026-01-12,salarycode_value_2,text_value_2,275.00,vat_value_2
ORG-1003,2440,412.50,code_value_3,2026-01-19,salarycode_value_3,text_value_3,412.50,vat_value_3
ORG-1004,2611,550.00,code_value_4,2026-01-26,salarycode_value_4,text_value_4,550.00,vat_value_4
ORG-1001,3011,687.50,code_value_5,2026-02-02,salarycode_value_5,text_value_5,687.50,vat_value_5
ORG-1002,3041,825.00,code_value_6,2026-02-09,salarycode_value_6,text_value_6,825.00,vat_value_6
ORG-1003,4010,962.50,code_value_7,2026-02-16,salarycode_value_7,text_value_7,962.50,vat_value_7
ORG-1004,5010,1100.00,code_value_8,2026-02-23,salarycode_value_8,text_value_8,1100.00,vat_value_8
ORG-1001,7010,1237.50,code_value_9,2026-03-02,salarycode_value_9,text_value_9,1237.50,vat_value_9
ORG-1002,1510,1375.00,code_value_10,2026-03-09,salarycode_value_10,text_value_10,1375.00,vat_value_10
ORG-1003,1930,1512.50,code_value_11,2026-03-16,salarycode_value_11,text_value_11,1512.50,vat_value_11
ORG-1004,2440,1650.00,code_value_12,2026-03-23,salarycode_value_12,text_value_12,1650.00,vat_value_12
