OrgId,completed,costCenterCode,date,id,itemId,note,projectId,released,rows,stockPointCode,supplierNumber,voided
ORG-1001,completed_value_1,137.50,2026-01-05,KEY-001,ITEM-001,note_value_1,PROJEC-001,released_value_1,rows_value_1,137.50,S-2001,voided_value_1
ORG-1002,completed_value_2,275.00,2026-01-12,KEY-002,ITEM-002,note_value_2,PROJEC-002,released_value_2,rows_value_2,275.00,S-2002,voided_value_2
ORG-1003,completed_value_3,412.50,2026-01-19,KEY-003,ITEM-003,note_value_3,PROJEC-003,released_value_3,rows_value_3,412.50,S-2003,voided_value_3
ORG-1004,completed_value_4,550.00,2026-01-26,KEY-004,ITEM-004,note_value_4,PROJEC-004,released_value_4,rows_value_4,550.00,S-2001,voided_value_4
ORG-1001,completed_value_5,687.50,2026-02-02,KEY-005,ITEM-005,note_value_5,PROJEC-005,released_value_5,rows_value_5,687.50,S-2002,voided_value_5
ORG-1002,completed_value_6,825.00,2026-02-09,KEY-006,ITEM-006,note_value_6,PROJEC-006,released_value_6,rows_value_6,825.00,S-2003,voided_value_6
ORG-1003,completed_value_7,962.50,2026-02-16,KEY-007,ITEM-007,note_value_7,PROJEC-007,released_value_7,rows_value_7,962.50,S-2001,voided_value_7
ORG-1004,completed_value_8,1100.00,2026-02-23,KEY-008,ITEM-008,note_value_8,PROJEC-008,released_value_8,rows_value_8,1100.00,S-2002,voided_value_8
ORG-1001,completed_value_9,1237.50,2026-03-02,KEY-009,ITEM-009,note_value_9,PROJEC-009,released_value_9,rows_value_9,1237.50,S-2003,voided_value_9
ORG-1002,completed_value_10,1375.00,2026-03-09,KEY-010,ITEM-010,note_value_10,PROJEC-010,released_value_10,rows_value_10,1375.00,S-2001,voided_value_10
ORG-1003,completed_value_11,1512.50,2026-03-16,KEY-011,ITEM-011,note_value_11,PROJEC-011,released_value_11,rows_value_11,1512.50,S-2002,voided_value_11
ORG-1004,completed_value_12,1650.00,2026-03-23,KEY-012,ITEM-012,note_value_12,PROJEC-012,released_value_12,rows_value_12,1650.00,S-2003,voided_value_12
