OrgId,ArticleNumber,FromQuantity,Price,PriceList
ORG-1001,ART-100,137.50,137.50,137.50
ORG-1002,ART-101,275.00,275.00,275.00
ORG-1003,ART-102,412.50,412.50,412.50
ORG-1004,ART-103,550.00,550.00,550.00
ORG-1001,ART-104,687.50,687.50,687.50
ORG-1002,ART-105,825.00,825.00,825.00
ORG-1003,ART-100,962.50,962.50,962.50
ORG-1004,ART-101,1100.00,1100.00,1100.00
ORG-1001,ART-102,1237.50,1237.50,1237.50
ORG-1002,ART-103,1375.00,1375.00,1375.00
ORG-1003,ART-104,1512.50,1512.50,1512.50
ORG-1004,ART-105,1650.00,1650.00,1650.00
