OrgId,costCenterCode,currencyRate,CustomerNumber,deliveryDate,Id,itemId,manuallyCompleted,messageToSupplier,note,orderDate,orderValueInSEK,ourReference,projectId,purchaseOrderState,purchaseType,responseState,rows,stockPointCode,supplierNumber,yourReference
ORG-1001,137.50,137.50,C-1001,2026-01-05,KEY-001,ITEM-001,manuallycompleted_value_1,messagetosupplier_value_1,note_value_1,2026-01-05,137.50,ourreference_value_1,PROJEC-001,purchaseorderstate_value_1,purchasetype_value_1,responsestate_value_1,rows_value_1,137.50,S-2001,yourreference_value_1
ORG-1002,275.00,275.00,C-1002,2026-01-12,KEY-002,ITEM-002,manuallycompleted_value_2,messagetosupplier_value_2,note_value_2,2026-01-12,275.00,ourreference_value_2,PROJEC-002,purchaseorderstate_value_2,purchasetype_value_2,responsestate_value_2,rows_value_2,275.00,S-2002,yourreference_value_2
ORG-1003,412.50,412.50,C-1003,2026-01-19,KEY-003,ITEM-003,manuallycompleted_value_3,messagetosupplier_value_3,note_value_3,2026-01-19,412.50,ourreference_value_3,PROJEC-003,purchaseorderstate_value_3,purchasetype_value_3,responsestate_value_3,rows_value_3,412.50,S-2003,yourreference_value_3
ORG-1004,550.00,550.00,C-1004,2026-01-26,KEY-004,ITEM-004,manuallycompleted_value_4,messagetosupplier_value_4,note_value_4,2026-01-26,550.00,ourreference_value_4,PROJEC-004,purchaseorderstate_value_4,purchasetype_value_4,responsestate_value_4,rows_value_4,550.00,S-2001,yourreference_value_4
ORG-1001,687.50,687.50,C-1005,2026-02-02,KEY-005,ITEM-005,manuallycompleted_value_5,messagetosupplier_value_5,note_value_5,2026-02-02,687.50,ourreference_value_5,PROJEC-005,purchaseorderstate_value_5,purchasetype_value_5,responsestate_value_5,rows_value_5,687.50,S-2002,yourreference_value_5
ORG-1002,825.00,825.00,C-1001,2026-02-09,KEY-006,ITEM-006,manuallycompleted_value_6,messagetosupplier_value_6,note_value_6,2026-02-09,825.00,ourreference_value_6,PROJEC-006,purchaseorderstate_value_6,purchasetype_value_6,responsestate_value_6,rows_value_6,825.00,S-2003,yourreference_value_6
ORG-1003,962.50,962.50,C-1002,2026-02-16,KEY-007,ITEM-007,manuallycompleted_value_7,messagetosupplier_value_7,note_value_7,2026-02-16,962.50,ourreference_value_7,PROJEC-007,purchaseorderstate_value_7,purchasetype_value_7,responsestate_value_7,rows_value_7,962.50,S-2001,yourreference_value_7
ORG-1004,1100.00,1100.00,C-1003,2026-02-23,KEY-008,ITEM-008,manuallycompleted_value_8,messagetosupplier_value_8,note_value_8,2026-02-23,1100.00,ourreference_value_8,PROJEC-008,purchaseorderstate_value_8,purchasetype_value_8,responsestate_value_8,rows_value_8,1100.00,S-2002,yourreference_value_8
ORG-1001,1237.50,1237.50,C-1004,2026-03-02,KEY-009,ITEM-009,manuallycompleted_value_9,messagetosupplier_value_9,note_value_9,2026-03-02,1237.50,ourreference_value_9,PROJEC-009,purchaseorderstate_value_9,purchasetype_value_9,responsestate_value_9,rows_value_9,1237.50,S-2003,yourreference_value_9
ORG-1002,1375.00,1375.00,C-1005,2026-03-09,KEY-010,ITEM-010,manuallycompleted_value_10,messagetosupplier_value_10,note_value_10,2026-03-09,1375.00,ourreference_value_10,PROJEC-010,purchaseorderstate_value_10,purchasetype_value_10,responsestate_value_10,rows_value_10,1375.00,S-2001,yourreference_value_10
ORG-1003,1512.50,1512.50,C-1001,2026-03-16,KEY-011,ITEM-011,manuallycompleted_value_11,messagetosupplier_value_11,note_value_11,2026-03-16,1512.50,ourreference_value_11,PROJEC-011,purchaseorderstate_value_11,purchasetype_value_11,responsestate_value_11,rows_value_11,1512.50,S-2002,yourreference_value_11
ORG-1004,1650.00,1650.00,C-1002,2026-03-23,KEY-012,ITEM-012,manuallycompleted_value_12,messagetosupplier_value_12,note_value_12,2026-03-23,1650.00,ourreference_value_12,PROJEC-012,purchaseorderstate_value_12,purchasetype_value_12,responsestate_value_12,rows_value_12,1650.00,S-2003,yourreference_value_12
