OrgId,Amount,Date,EmployeeId,Expense,Number,SalaryCode,Total,VAT
ORG-1001,137.50,2026-01-05,EMPLOY-001,expense_value_1,KEY-001,salarycode_value_1,137.50,vat_value_1
ORG-1002,275.00,2026-01-12,EMPLOY-002,expense_value_2,KEY-002,salarycode_value_2,275.00,vat_value_2
ORG-1003,412.50,2026-01-19,EMPLOY-003,expense_value_3,KEY-003,salarycode_value_3,412.50,vat_value_3
ORG-1004,550.00,2026-01-26,EMPLOY-004,expense_value_4,KEY-004,salarycode_value_4,550.00,vat_value_4
ORG-1001,687.50,2026-02-02,EMPLOY-005,expense_value_5,KEY-005,salarycode_value_5,687.50,vat_value_5
ORG-1002,825.00,2026-02-09,EMPLOY-006,expense_value_6,KEY-006,salarycode_value_6,825.00,vat_value_6
ORG-1003,962.50,2026-02-16,EMPLOY-007,expense_value_7,KEY-007,salarycode_value_7,962.50,vat_value_7
ORG-1004,1100.00,2026-02-23,EMPLOY-008,expense_value_8,KEY-008,salarycode_value_8,1100.00,vat_value_8
ORG-1001,1237.50,2026-03-02,EMPLOY-009,expense_value_9,KEY-009,salarycode_value_9,1237.50,vat_value_9
ORG-1002,1375.00,2026-03-09,EMPLOY-010,expense_value_10,KEY-010,salarycode_value_10,1375.00,vat_value_10
ORG-1003,1512.50,2026-03-16,EMPLOY-011,expense_value_11,KEY-011,salarycode_value_11,1512.50,vat_value_11
ORG-1004,1650.00,2026-03-23,EMPLOY-012,expense_value_12,KEY-012,salarycode_value_12,1650.00,vat_value_12
