OrgId,AvailableStock,enz_created_at,ENZ_SYNC_TS,InStock,ItemId,StockPointCode
ORG-1001,137.50,2026-01-05,enz_sync_ts_value_1,137.50,ITEM-001,137.50
ORG-1002,275.00,2026-01-12,enz_sync_ts_value_2,275.00,ITEM-002,275.00
ORG-1003,412.50,2026-01-19,enz_sync_ts_value_3,412.50,ITEM-003,412.50
ORG-1004,550.00,2026-01-26,enz_sync_ts_value_4,550.00,ITEM-004,550.00
ORG-1001,687.50,2026-02-02,enz_sync_ts_value_5,687.50,ITEM-005,687.50
ORG-1002,825.00,2026-02-09,enz_sync_ts_value_6,825.00,ITEM-006,825.00
ORG-1003,962.50,2026-02-16,enz_sync_ts_value_7,962.50,ITEM-007,962.50
ORG-1004,1100.00,2026-02-23,enz_sync_ts_value_8,1100.00,ITEM-008,1100.00
ORG-1001,1237.50,2026-03-02,enz_sync_ts_value_9,1237.50,ITEM-009,1237.50
ORG-1002,1375.00,2026-03-09,enz_sync_ts_value_10,1375.00,ITEM-010,1375.00
ORG-1003,1512.50,2026-03-16,enz_sync_ts_value_11,1512.50,ITEM-011,1512.50
ORG-1004,1650.00,2026-03-23,enz_sync_ts_value_12,1650.00,ITEM-012,1650.00
