OrgId,Active,Code,DeliveryAddress,DeliveryAddress2,DeliveryCity,DeliveryCountryCode,DeliveryName,DeliveryPhone,DeliveryZipCode,Id,Name,UsingCompanyAddress
ORG-1001,false,code_value_1,deliveryaddress_value_1,deliveryaddress2_value_1,deliverycity_value_1,deliverycountrycode_value_1,deliveryname_value_1,deliveryphone_value_1,deliveryzipcode_value_1,KEY-001,Bergen Bygg AS,usingcompanyaddress_value_1
ORG-1002,true,code_value_2,deliveryaddress_value_2,deliveryaddress2_value_2,deliverycity_value_2,deliverycountrycode_value_2,deliveryname_value_2,deliveryphone_value_2,deliveryzipcode_value_2,KEY-002,Uppsala Livsmedel AB,usingcompanyaddress_value_2
ORG-1003,true,code_value_3,deliveryaddress_value_3,deliveryaddress2_value_3,deliverycity_value_3,deliverycountrycode_value_3,deliveryname_value_3,deliveryphone_value_3,deliveryzipcode_value_3,KEY-003,Aarhus Elektronik ApS,usingcompanyaddress_value_3
ORG-1004,false,code_value_4,deliveryaddress_value_4,deliveryaddress2_value_4,deliverycity_value_4,deliverycountrycode_value_4,deliveryname_value_4,deliveryphone_value_4,deliveryzipcode_value_4,KEY-004,Tampere Kone Oy,usingcompanyaddress_value_4
ORG-1001,true,code_value_5,deliveryaddress_value_5,deliveryaddress2_value_5,deliverycity_value_5,deliverycountrycode_value_5,deliveryname_value_5,deliveryphone_value_5,deliveryzipcode_value_5,KEY-005,Stavanger Marine AS,usingcompanyaddress_value_5
ORG-1002,true,code_value_6,deliveryaddress_value_6,deliveryaddress2_value_6,deliverycity_value_6,deliverycountrycode_value_6,deliveryname_value_6,deliveryphone_value_6,deliveryzipcode_value_6,KEY-006,Malmo Emballage AB,usingcompanyaddress_value_6
ORG-1003,false,code_value_7,deliveryaddress_value_7,deliveryaddress2_value_7,deliverycity_value_7,deliverycountrycode_value_7,deliveryname_value_7,deliveryphone_value_7,deliveryzipcode_value_7,KEY-007,Trondheim Verktoy AS,usingcompanyaddress_value_7
ORG-1004,true,code_value_8,deliveryaddress_value_8,deliveryaddress2_value_8,deliverycity_value_8,deliverycountrycode_value_8,deliveryname_value_8,deliveryphone_value_8,deliveryzipcode_value_8,KEY-008,Odense Papir ApS,usingcompanyaddress_value_8
ORG-1001,true,code_value_9,deliveryaddress_value_9,deliveryaddress2_value_9,deliverycity_value_9,deliverycountrycode_value_9,deliveryname_value_9,deliveryphone_value_9,deliveryzipcode_value_9,KEY-009,Astrid Lindqvist,usingcompanyaddress_value_9
ORG-1002,false,code_value_10,deliveryaddress_value_10,deliveryaddress2_value_10,deliverycity_value_10,deliverycountrycode_value_10,deliveryname_value_10,deliveryphone_value_10,deliveryzipcode_value_10,KEY-010,Henrik Dahl,usingcompanyaddress_value_10
ORG-1003,true,code_value_11,deliveryaddress_value_11,deliveryaddress2_value_11,deliverycity_value_11,deliverycountrycode_value_11,deliveryname_value_11,deliveryphone_value_11,deliveryzipcode_value_11,KEY-011,Mette Sorensen,usingcompanyaddress_value_11
ORG-1004,true,code_value_12,deliveryaddress_value_12,deliveryaddress2_value_12,deliverycity_value_12,deliverycountrycode_value_12,deliveryname_value_12,deliveryphone_value_12,deliveryzipcode_value_12,KEY-012,Jukka Virtanen,usingcompanyaddress_value_12
