OrgId,AccrualAccount,costAccount,EndDate,Period,StartDate,SupplierInvoiceAccrualRows,supplierInvoiceNumber,Times,Total
ORG-1001,accrualaccount_value_1,137.50,2026-01-05,period_value_1,2026-01-05,supplierinvoiceaccrualrows_value_1,SUPPLI-001,times_value_1,137.50
ORG-1002,accrualaccount_value_2,275.00,2026-01-12,period_value_2,2026-01-12,supplierinvoiceaccrualrows_value_2,SUPPLI-002,times_value_2,275.00
ORG-1003,accrualaccount_value_3,412.50,2026-01-19,period_value_3,2026-01-19,supplierinvoiceaccrualrows_value_3,SUPPLI-003,times_value_3,412.50
ORG-1004,accrualaccount_value_4,550.00,2026-01-26,period_value_4,2026-01-26,supplierinvoiceaccrualrows_value_4,SUPPLI-004,times_value_4,550.00
ORG-1001,accrualaccount_value_5,687.50,2026-02-02,period_value_5,2026-02-02,supplierinvoiceaccrualrows_value_5,SUPPLI-005,times_value_5,687.50
ORG-1002,accrualaccount_value_6,825.00,2026-02-09,period_value_6,2026-02-09,supplierinvoiceaccrualrows_value_6,SUPPLI-006,times_value_6,825.00
ORG-1003,accrualaccount_value_7,962.50,2026-02-16,period_value_7,2026-02-16,supplierinvoiceaccrualrows_value_7,SUPPLI-007,times_value_7,962.50
ORG-1004,accrualaccount_value_8,1100.00,2026-02-23,period_value_8,2026-02-23,supplierinvoiceaccrualrows_value_8,SUPPLI-008,times_value_8,1100.00
ORG-1001,accrualaccount_value_9,1237.50,2026-03-02,period_value_9,2026-03-02,supplierinvoiceaccrualrows_value_9,SUPPLI-009,times_value_9,1237.50
ORG-1002,accrualaccount_value_10,1375.00,2026-03-09,period_value_10,2026-03-09,supplierinvoiceaccrualrows_value_10,SUPPLI-010,times_value_10,1375.00
ORG-1003,accrualaccount_value_11,1512.50,2026-03-16,period_value_11,2026-03-16,supplierinvoiceaccrualrows_value_11,SUPPLI-011,times_value_11,1512.50
ORG-1004,accrualaccount_value_12,1650.00,2026-03-23,period_value_12,2026-03-23,supplierinvoiceaccrualrows_value_12,SUPPLI-012,times_value_12,1650.00
