OrgId,Active,CostCenterSettings,Description,Number,ProjectSettings,Year
ORG-1001,false,137.50,description_value_1,KEY-001,projectsettings_value_1,year_value_1
ORG-1002,true,275.00,description_value_2,KEY-002,projectsettings_value_2,year_value_2
ORG-1003,true,412.50,description_value_3,KEY-003,projectsettings_value_3,year_value_3
ORG-1004,false,550.00,description_value_4,KEY-004,projectsettings_value_4,year_value_4
ORG-1001,true,687.50,description_value_5,KEY-005,projectsettings_value_5,year_value_5
ORG-1002,true,825.00,description_value_6,KEY-006,projectsettings_value_6,year_value_6
ORG-1003,false,962.50,description_value_7,KEY-007,projectsettings_value_7,year_value_7
ORG-1004,true,1100.00,description_value_8,KEY-008,projectsettings_value_8,year_value_8
ORG-1001,true,1237.50,description_value_9,KEY-009,projectsettings_value_9,year_value_9
ORG-1002,false,1375.00,description_value_10,KEY-010,projectsettings_value_10,year_value_10
ORG-1003,true,1512.50,description_value_11,KEY-011,projectsettings_value_11,year_value_11
ORG-1004,true,1650.00,description_value_12,KEY-012,projectsettings_value_12,year_value_12
