OrgId,AccountAsset,AccountDepreciation,AccountRevaluation,AccountSaleLoss,AccountSaleWin,AccountValueLoss,AccountWriteDown,AccountWriteDownAck,Description,Id,InUse,Notes,Number,Type,Url
ORG-1001,accountasset_value_1,accountdepreciation_value_1,accountrevaluation_value_1,accountsaleloss_value_1,accountsalewin_value_1,137.50,accountwritedown_value_1,accountwritedownack_value_1,description_value_1,KEY-001,inuse_value_1,notes_value_1,KEY-001,type_value_1,url_value_1
ORG-1002,accountasset_value_2,accountdepreciation_value_2,accountrevaluation_value_2,accountsaleloss_value_2,accountsalewin_value_2,275.00,accountwritedown_value_2,accountwritedownack_value_2,description_value_2,KEY-002,inuse_value_2,notes_value_2,KEY-002,type_value_2,url_value_2
ORG-1003,accountasset_value_3,accountdepreciation_value_3,accountrevaluation_value_3,accountsaleloss_value_3,accountsalewin_value_3,412.50,accountwritedown_value_3,accountwritedownack_value_3,description_value_3,KEY-003,inuse_value_3,notes_value_3,KEY-003,type_value_3,url_value_3
ORG-1004,accountasset_value_4,accountdepreciation_value_4,accountrevaluation_value_4,accountsaleloss_value_4,accountsalewin_value_4,550.00,accountwritedown_value_4,accountwritedownack_value_4,description_value_4,KEY-004,inuse_value_4,notes_value_4,KEY-004,type_value_4,url_value_4
ORG-1001,accountasset_value_5,accountdepreciation_value_5,accountrevaluation_value_5,accountsaleloss_value_5,accountsalewin_value_5,687.50,accountwritedown_value_5,accountwritedownack_value_5,description_value_5,KEY-005,inuse_value_5,notes_value_5,KEY-005,type_value_5,url_value_5
ORG-1002,accountasset_value_6,accountdepreciation_value_6,accountrevaluation_value_6,accountsaleloss_value_6,accountsalewin_value_6,825.00,accountwritedown_value_6,accountwritedownack_value_6,description_value_6,KEY-006,inuse_value_6,notes_value_6,KEY-006,type_value_6,url_value_6
ORG-1003,accountasset_value_7,accountdepreciation_value_7,accountrevaluation_value_7,accountsaleloss_value_7,accountsalewin_value_7,962.50,accountwritedown_value_7,accountwritedownack_value_7,description_value_7,KEY-007,inuse_value_7,notes_value_7,KEY-007,type_value_7,url_value_7
ORG-1004,accountasset_value_8,accountdepreciation_value_8,accountrevaluation_value_8,accountsaleloss_value_8,accountsalewin_value_8,1100.00,accountwritedown_value_8,accountwritedownack_value_8,description_value_8,KEY-008,inuse_value_8,notes_value_8,KEY-008,type_value_8,url_value_8
ORG-1001,accountasset_value_9,accountdepreciation_value_9,accountrevaluation_value_9,accountsaleloss_value_9,accountsalewin_value_9,1237.50,accountwritedown_value_9,accountwritedownack_value_9,description_value_9,KEY-009,inuse_value_9,notes_value_9,KEY-009,type_value_9,url_value_9
ORG-1002,accountasset_value_10,accountdepreciation_value_10,accountrevaluation_value_10,accountsaleloss_value_10,accountsalewin_value_10,1375.00,accountwritedown_value_10,accountwritedownack_value_10,description_value_10,KEY-010,inuse_value_10,notes_value_10,KEY-010,type_value_10,url_value_10
ORG-1003,accountasset_value_11,accountdepreciation_value_11,accountrevaluation_value_11,accountsaleloss_value_11,accountsalewin_value_11,1512.50,accountwritedown_value_11,accountwritedownack_value_11,description_value_11,KEY-011,inuse_value_11,notes_value_11,KEY-011,type_value_11,url_value_11
ORG-1004,accountasset_value_12,accountdepreciation_value_12,accountrevaluation_value_12,accountsaleloss_value_12,accountsalewin_value_12,1650.00,accountwritedown_value_12,accountwritedownack_value_12,description_value_12,KEY-012,inuse_value_12,notes_value_12,KEY-012,type_value_12,url_value_12
