OrgId,CostCenter,Project,ReferenceNumber,ReferenceType,VoucherNumber,VoucherRows,VoucherSeries,Year
ORG-1001,137.50,project_value_1,REFERE-001,referencetype_value_1,VOUCHE-001,voucherrows_value_1,voucherseries_value_1,year_value_1
ORG-1002,275.00,project_value_2,REFERE-002,referencetype_value_2,VOUCHE-002,voucherrows_value_2,voucherseries_value_2,year_value_2
ORG-1003,412.50,project_value_3,REFERE-003,referencetype_value_3,VOUCHE-003,voucherrows_value_3,voucherseries_value_3,year_value_3
ORG-1004,550.00,project_value_4,REFERE-004,referencetype_value_4,VOUCHE-004,voucherrows_value_4,voucherseries_value_4,year_value_4
ORG-1001,687.50,project_value_5,REFERE-005,referencetype_value_5,VOUCHE-005,voucherrows_value_5,voucherseries_value_5,year_value_5
ORG-1002,825.00,project_value_6,REFERE-006,referencetype_value_6,VOUCHE-006,voucherrows_value_6,voucherseries_value_6,year_value_6
ORG-1003,962.50,project_value_7,REFERE-007,referencetype_value_7,VOUCHE-007,voucherrows_value_7,voucherseries_value_7,year_value_7
ORG-1004,1100.00,project_value_8,REFERE-008,referencetype_value_8,VOUCHE-008,voucherrows_value_8,voucherseries_value_8,year_value_8
ORG-1001,1237.50,project_value_9,REFERE-009,referencetype_value_9,VOUCHE-009,voucherrows_value_9,voucherseries_value_9,year_value_9
ORG-1002,1375.00,project_value_10,REFERE-010,referencetype_value_10,VOUCHE-010,voucherrows_value_10,voucherseries_value_10,year_value_10
ORG-1003,1512.50,project_value_11,REFERE-011,referencetype_value_11,VOUCHE-011,voucherrows_value_11,voucherseries_value_11,year_value_11
ORG-1004,1650.00,project_value_12,REFERE-012,referencetype_value_12,VOUCHE-012,voucherrows_value_12,voucherseries_value_12,year_value_12
