createdate,domain,hs_lastmodifieddate,hs_object_id,name
2026-01-05,domain_value_1,2026-01-05,HS_OBJ-001,Bergen Bygg AS
2026-01-12,domain_value_2,2026-01-12,HS_OBJ-002,Uppsala Livsmedel AB
2026-01-19,domain_value_3,2026-01-19,HS_OBJ-003,Aarhus Elektronik ApS
2026-01-26,domain_value_4,2026-01-26,HS_OBJ-004,Tampere Kone Oy
2026-02-02,domain_value_5,2026-02-02,HS_OBJ-005,Stavanger Marine AS
2026-02-09,domain_value_6,2026-02-09,HS_OBJ-006,Malmo Emballage AB
2026-02-16,domain_value_7,2026-02-16,HS_OBJ-007,Trondheim Verktoy AS
2026-02-23,domain_value_8,2026-02-23,HS_OBJ-008,Odense Papir ApS
2026-03-02,domain_value_9,2026-03-02,HS_OBJ-009,Astrid Lindqvist
2026-03-09,domain_value_10,2026-03-09,HS_OBJ-010,Henrik Dahl
2026-03-16,domain_value_11,2026-03-16,HS_OBJ-011,Mette Sorensen
2026-03-23,domain_value_12,2026-03-23,HS_OBJ-012,Jukka Virtanen
