Account,AccountClass,AccountName,Active,Bas,CostCenterSettings,MainAccount,Number,ProjectSettings,SubAccount,Year
1510,accountclass_value_1,accountname_value_1,false,bas_value_1,137.50,mainaccount_value_1,KEY-001,projectsettings_value_1,subaccount_value_1,year_value_1
1930,accountclass_value_2,accountname_value_2,true,bas_value_2,275.00,mainaccount_value_2,KEY-002,projectsettings_value_2,subaccount_value_2,year_value_2
2440,accountclass_value_3,accountname_value_3,true,bas_value_3,412.50,mainaccount_value_3,KEY-003,projectsettings_value_3,subaccount_value_3,year_value_3
2611,accountclass_value_4,accountname_value_4,false,bas_value_4,550.00,mainaccount_value_4,KEY-004,projectsettings_value_4,subaccount_value_4,year_value_4
3011,accountclass_value_5,accountname_value_5,true,bas_value_5,687.50,mainaccount_value_5,KEY-005,projectsettings_value_5,subaccount_value_5,year_value_5
3041,accountclass_value_6,accountname_value_6,true,bas_value_6,825.00,mainaccount_value_6,KEY-006,projectsettings_value_6,subaccount_value_6,year_value_6
4010,accountclass_value_7,accountname_value_7,false,bas_value_7,962.50,mainaccount_value_7,KEY-007,projectsettings_value_7,subaccount_value_7,year_value_7
5010,accountclass_value_8,accountname_value_8,true,bas_value_8,1100.00,mainaccount_value_8,KEY-008,projectsettings_value_8,subaccount_value_8,year_value_8
7010,accountclass_value_9,accountname_value_9,true,bas_value_9,1237.50,mainaccount_value_9,KEY-009,projectsettings_value_9,subaccount_value_9,year_value_9
1510,accountclass_value_10,accountname_value_10,false,bas_value_10,1375.00,mainaccount_value_10,KEY-010,projectsettings_value_10,subaccount_value_10,year_value_10
1930,accountclass_value_11,accountname_value_11,true,bas_value_11,1512.50,mainaccount_value_11,KEY-011,projectsettings_value_11,subaccount_value_11,year_value_11
2440,accountclass_value_12,accountname_value_12,true,bas_value_12,1650.00,mainaccount_value_12,KEY-012,projectsettings_value_12,subaccount_value_12,year_value_12
