CauseCode,Code,Date,Description,Extent,HolidayEntitling,Hours,is
causecode_value_1,code_value_1,2026-01-05,description_value_1,extent_value_1,holidayentitling_value_1,hours_value_1,is_value_1
causecode_value_2,code_value_2,2026-01-12,description_value_2,extent_value_2,holidayentitling_value_2,hours_value_2,is_value_2
causecode_value_3,code_value_3,2026-01-19,description_value_3,extent_value_3,holidayentitling_value_3,hours_value_3,is_value_3
causecode_value_4,code_value_4,2026-01-26,description_value_4,extent_value_4,holidayentitling_value_4,hours_value_4,is_value_4
causecode_value_5,code_value_5,2026-02-02,description_value_5,extent_value_5,holidayentitling_value_5,hours_value_5,is_value_5
causecode_value_6,code_value_6,2026-02-09,description_value_6,extent_value_6,holidayentitling_value_6,hours_value_6,is_value_6
causecode_value_7,code_value_7,2026-02-16,description_value_7,extent_value_7,holidayentitling_value_7,hours_value_7,is_value_7
causecode_value_8,code_value_8,2026-02-23,description_value_8,extent_value_8,holidayentitling_value_8,hours_value_8,is_value_8
causecode_value_9,code_value_9,2026-03-02,description_value_9,extent_value_9,holidayentitling_value_9,hours_value_9,is_value_9
causecode_value_10,code_value_10,2026-03-09,description_value_10,extent_value_10,holidayentitling_value_10,hours_value_10,is_value_10
causecode_value_11,code_value_11,2026-03-16,description_value_11,extent_value_11,holidayentitling_value_11,hours_value_11,is_value_11
causecode_value_12,code_value_12,2026-03-23,description_value_12,extent_value_12,holidayentitling_value_12,hours_value_12,is_value_12
