OrgId,CostCenterId,currencyCode,currencyRate,CustomerId,customerNumber,deliveryDate,invoiceNumber,OfferId,ourReferenceName,ProjectId,quoteDate,quoteNumber,sentDate,totalAmount,totalAmountInclTax,totalCost,totalTaxAmount,validToDate
ORG-1001,137.50,SEK,137.50,CUSTOM-001,C-1001,2026-01-05,INVOIC-001,OFFER-001,ourreferencename_value_1,PROJEC-001,2026-01-05,QUOTE-001,2026-01-05,137.50,137.50,137.50,137.50,2026-01-05
ORG-1002,275.00,NOK,275.00,CUSTOM-002,C-1002,2026-01-12,INVOIC-002,OFFER-002,ourreferencename_value_2,PROJEC-002,2026-01-12,QUOTE-002,2026-01-12,275.00,275.00,275.00,275.00,2026-01-12
ORG-1003,412.50,DKK,412.50,CUSTOM-003,C-1003,2026-01-19,INVOIC-003,OFFER-003,ourreferencename_value_3,PROJEC-003,2026-01-19,QUOTE-003,2026-01-19,412.50,412.50,412.50,412.50,2026-01-19
ORG-1004,550.00,EUR,550.00,CUSTOM-004,C-1004,2026-01-26,INVOIC-004,OFFER-004,ourreferencename_value_4,PROJEC-004,2026-01-26,QUOTE-004,2026-01-26,550.00,550.00,550.00,550.00,2026-01-26
ORG-1001,687.50,GBP,687.50,CUSTOM-005,C-1005,2026-02-02,INVOIC-005,OFFER-005,ourreferencename_value_5,PROJEC-005,2026-02-02,QUOTE-005,2026-02-02,687.50,687.50,687.50,687.50,2026-02-02
ORG-1002,825.00,USD,825.00,CUSTOM-006,C-1001,2026-02-09,INVOIC-006,OFFER-006,ourreferencename_value_6,PROJEC-006,2026-02-09,QUOTE-006,2026-02-09,825.00,825.00,825.00,825.00,2026-02-09
ORG-1003,962.50,SEK,962.50,CUSTOM-007,C-1002,2026-02-16,INVOIC-007,OFFER-007,ourreferencename_value_7,PROJEC-007,2026-02-16,QUOTE-007,2026-02-16,962.50,962.50,962.50,962.50,2026-02-16
ORG-1004,1100.00,NOK,1100.00,CUSTOM-008,C-1003,2026-02-23,INVOIC-008,OFFER-008,ourreferencename_value_8,PROJEC-008,2026-02-23,QUOTE-008,2026-02-23,1100.00,1100.00,1100.00,1100.00,2026-02-23
ORG-1001,1237.50,DKK,1237.50,CUSTOM-009,C-1004,2026-03-02,INVOIC-009,OFFER-009,ourreferencename_value_9,PROJEC-009,2026-03-02,QUOTE-009,2026-03-02,1237.50,1237.50,1237.50,1237.50,2026-03-02
ORG-1002,1375.00,EUR,1375.00,CUSTOM-010,C-1005,2026-03-09,INVOIC-010,OFFER-010,ourreferencename_value_10,PROJEC-010,2026-03-09,QUOTE-010,2026-03-09,1375.00,1375.00,1375.00,1375.00,2026-03-09
ORG-1003,1512.50,GBP,1512.50,CUSTOM-011,C-1001,2026-03-16,INVOIC-011,OFFER-011,ourreferencename_value_11,PROJEC-011,2026-03-16,QUOTE-011,2026-03-16,1512.50,1512.50,1512.50,1512.50,2026-03-16
ORG-1004,1650.00,USD,1650.00,CUSTOM-012,C-1002,2026-03-23,INVOIC-012,OFFER-012,ourreferencename_value_12,PROJEC-012,2026-03-23,QUOTE-012,2026-03-23,1650.00,1650.00,1650.00,1650.00,2026-03-23
