fulfillable_quantity,id,order_id,price,quantity,tax_lines,total_discount,variant_id
137.50,KEY-001,ORDER_-001,137.50,137.50,tax_lines_value_1,137.50,VARIAN-001
275.00,KEY-002,ORDER_-002,275.00,275.00,tax_lines_value_2,275.00,VARIAN-002
412.50,KEY-003,ORDER_-003,412.50,412.50,tax_lines_value_3,412.50,VARIAN-003
550.00,KEY-004,ORDER_-004,550.00,550.00,tax_lines_value_4,550.00,VARIAN-004
687.50,KEY-005,ORDER_-005,687.50,687.50,tax_lines_value_5,687.50,VARIAN-005
825.00,KEY-006,ORDER_-006,825.00,825.00,tax_lines_value_6,825.00,VARIAN-006
962.50,KEY-007,ORDER_-007,962.50,962.50,tax_lines_value_7,962.50,VARIAN-007
1100.00,KEY-008,ORDER_-008,1100.00,1100.00,tax_lines_value_8,1100.00,VARIAN-008
1237.50,KEY-009,ORDER_-009,1237.50,1237.50,tax_lines_value_9,1237.50,VARIAN-009
1375.00,KEY-010,ORDER_-010,1375.00,1375.00,tax_lines_value_10,1375.00,VARIAN-010
1512.50,KEY-011,ORDER_-011,1512.50,1512.50,tax_lines_value_11,1512.50,VARIAN-011
1650.00,KEY-012,ORDER_-012,1650.00,1650.00,tax_lines_value_12,1650.00,VARIAN-012
