created_at,product_id,product_type,status,tags,title,updated_at,variant_barcode,variant_grams,variant_id,variant_inventory_quantity,variant_price,variant_requires_shipping,variant_sku,variant_title,vendor
2026-01-05,PRODUC-001,product_type_value_1,status_value_1,tags_value_1,title_value_1,2026-01-05,variant_barcode_value_1,variant_grams_value_1,VARIAN-001,137.50,137.50,variant_requires_shipping_value_1,variant_sku_value_1,variant_title_value_1,vendor_value_1
2026-01-12,PRODUC-002,product_type_value_2,status_value_2,tags_value_2,title_value_2,2026-01-12,variant_barcode_value_2,variant_grams_value_2,VARIAN-002,275.00,275.00,variant_requires_shipping_value_2,variant_sku_value_2,variant_title_value_2,vendor_value_2
2026-01-19,PRODUC-003,product_type_value_3,status_value_3,tags_value_3,title_value_3,2026-01-19,variant_barcode_value_3,variant_grams_value_3,VARIAN-003,412.50,412.50,variant_requires_shipping_value_3,variant_sku_value_3,variant_title_value_3,vendor_value_3
2026-01-26,PRODUC-004,product_type_value_4,status_value_4,tags_value_4,title_value_4,2026-01-26,variant_barcode_value_4,variant_grams_value_4,VARIAN-004,550.00,550.00,variant_requires_shipping_value_4,variant_sku_value_4,variant_title_value_4,vendor_value_4
2026-02-02,PRODUC-005,product_type_value_5,status_value_5,tags_value_5,title_value_5,2026-02-02,variant_barcode_value_5,variant_grams_value_5,VARIAN-005,687.50,687.50,variant_requires_shipping_value_5,variant_sku_value_5,variant_title_value_5,vendor_value_5
2026-02-09,PRODUC-006,product_type_value_6,status_value_6,tags_value_6,title_value_6,2026-02-09,variant_barcode_value_6,variant_grams_value_6,VARIAN-006,825.00,825.00,variant_requires_shipping_value_6,variant_sku_value_6,variant_title_value_6,vendor_value_6
2026-02-16,PRODUC-007,product_type_value_7,status_value_7,tags_value_7,title_value_7,2026-02-16,variant_barcode_value_7,variant_grams_value_7,VARIAN-007,962.50,962.50,variant_requires_shipping_value_7,variant_sku_value_7,variant_title_value_7,vendor_value_7
2026-02-23,PRODUC-008,product_type_value_8,status_value_8,tags_value_8,title_value_8,2026-02-23,variant_barcode_value_8,variant_grams_value_8,VARIAN-008,1100.00,1100.00,variant_requires_shipping_value_8,variant_sku_value_8,variant_title_value_8,vendor_value_8
2026-03-02,PRODUC-009,product_type_value_9,status_value_9,tags_value_9,title_value_9,2026-03-02,variant_barcode_value_9,variant_grams_value_9,VARIAN-009,1237.50,1237.50,variant_requires_shipping_value_9,variant_sku_value_9,variant_title_value_9,vendor_value_9
2026-03-09,PRODUC-010,product_type_value_10,status_value_10,tags_value_10,title_value_10,2026-03-09,variant_barcode_value_10,variant_grams_value_10,VARIAN-010,1375.00,1375.00,variant_requires_shipping_value_10,variant_sku_value_10,variant_title_value_10,vendor_value_10
2026-03-16,PRODUC-011,product_type_value_11,status_value_11,tags_value_11,title_value_11,2026-03-16,variant_barcode_value_11,variant_grams_value_11,VARIAN-011,1512.50,1512.50,variant_requires_shipping_value_11,variant_sku_value_11,variant_title_value_11,vendor_value_11
2026-03-23,PRODUC-012,product_type_value_12,status_value_12,tags_value_12,title_value_12,2026-03-23,variant_barcode_value_12,variant_grams_value_12,VARIAN-012,1650.00,1650.00,variant_requires_shipping_value_12,variant_sku_value_12,variant_title_value_12,vendor_value_12
