OrgId,account,balanceIn,balanceOut,startDate
ORG-1001,1510,137.50,137.50,2026-01-05
ORG-1002,1930,275.00,275.00,2026-01-12
ORG-1003,2440,412.50,412.50,2026-01-19
ORG-1004,2611,550.00,550.00,2026-01-26
ORG-1001,3011,687.50,687.50,2026-02-02
ORG-1002,3041,825.00,825.00,2026-02-09
ORG-1003,4010,962.50,962.50,2026-02-16
ORG-1004,5010,1100.00,1100.00,2026-02-23
ORG-1001,7010,1237.50,1237.50,2026-03-02
ORG-1002,1510,1375.00,1375.00,2026-03-09
ORG-1003,1930,1512.50,1512.50,2026-03-16
ORG-1004,2440,1650.00,1650.00,2026-03-23
