OrgId,CostCenterId,id,isInactive,name,offset
ORG-1001,137.50,KEY-001,false,Bergen Bygg AS,offset_value_1
ORG-1002,275.00,KEY-002,true,Uppsala Livsmedel AB,offset_value_2
ORG-1003,412.50,KEY-003,true,Aarhus Elektronik ApS,offset_value_3
ORG-1004,550.00,KEY-004,false,Tampere Kone Oy,offset_value_4
ORG-1001,687.50,KEY-005,true,Stavanger Marine AS,offset_value_5
ORG-1002,825.00,KEY-006,true,Malmo Emballage AB,offset_value_6
ORG-1003,962.50,KEY-007,false,Trondheim Verktoy AS,offset_value_7
ORG-1004,1100.00,KEY-008,true,Odense Papir ApS,offset_value_8
ORG-1001,1237.50,KEY-009,true,Astrid Lindqvist,offset_value_9
ORG-1002,1375.00,KEY-010,false,Henrik Dahl,offset_value_10
ORG-1003,1512.50,KEY-011,true,Mette Sorensen,offset_value_11
ORG-1004,1650.00,KEY-012,true,Jukka Virtanen,offset_value_12
