OrgId,amount,amountExcludingVat,amountOutstanding,amountRoundoff,comment,CostCenterId,creditedInvoice,currency,customer,CustomerId,deliveryDate,ehfSendStatus,FinancialYearId,invoiceComment,invoiceDate,invoiceDueDate,InvoiceId,invoiceNumber,isCredited,isCreditNote,kid,ProjectId,reminders
ORG-1001,137.50,137.50,137.50,137.50,comment_value_1,137.50,creditedinvoice_value_1,SEK,customer_value_1,CUSTOM-001,2026-01-05,ehfsendstatus_value_1,FINANC-001,invoicecomment_value_1,2026-01-05,2026-01-05,INVOIC-001,INVOIC-001,false,false,K-001,PROJEC-001,reminders_value_1
ORG-1002,275.00,275.00,275.00,275.00,comment_value_2,275.00,creditedinvoice_value_2,NOK,customer_value_2,CUSTOM-002,2026-01-12,ehfsendstatus_value_2,FINANC-002,invoicecomment_value_2,2026-01-12,2026-01-12,INVOIC-002,INVOIC-002,true,true,K-002,PROJEC-002,reminders_value_2
ORG-1003,412.50,412.50,412.50,412.50,comment_value_3,412.50,creditedinvoice_value_3,DKK,customer_value_3,CUSTOM-003,2026-01-19,ehfsendstatus_value_3,FINANC-003,invoicecomment_value_3,2026-01-19,2026-01-19,INVOIC-003,INVOIC-003,true,true,K-003,PROJEC-003,reminders_value_3
ORG-1004,550.00,550.00,550.00,550.00,comment_value_4,550.00,creditedinvoice_value_4,EUR,customer_value_4,CUSTOM-004,2026-01-26,ehfsendstatus_value_4,FINANC-004,invoicecomment_value_4,2026-01-26,2026-01-26,INVOIC-004,INVOIC-004,false,false,K-004,PROJEC-004,reminders_value_4
ORG-1001,687.50,687.50,687.50,687.50,comment_value_5,687.50,creditedinvoice_value_5,GBP,customer_value_5,CUSTOM-005,2026-02-02,ehfsendstatus_value_5,FINANC-005,invoicecomment_value_5,2026-02-02,2026-02-02,INVOIC-005,INVOIC-005,true,true,K-005,PROJEC-005,reminders_value_5
ORG-1002,825.00,825.00,825.00,825.00,comment_value_6,825.00,creditedinvoice_value_6,USD,customer_value_6,CUSTOM-006,2026-02-09,ehfsendstatus_value_6,FINANC-006,invoicecomment_value_6,2026-02-09,2026-02-09,INVOIC-006,INVOIC-006,true,true,K-006,PROJEC-006,reminders_value_6
ORG-1003,962.50,962.50,962.50,962.50,comment_value_7,962.50,creditedinvoice_value_7,SEK,customer_value_7,CUSTOM-007,2026-02-16,ehfsendstatus_value_7,FINANC-007,invoicecomment_value_7,2026-02-16,2026-02-16,INVOIC-007,INVOIC-007,false,false,K-007,PROJEC-007,reminders_value_7
ORG-1004,1100.00,1100.00,1100.00,1100.00,comment_value_8,1100.00,creditedinvoice_value_8,NOK,customer_value_8,CUSTOM-008,2026-02-23,ehfsendstatus_value_8,FINANC-008,invoicecomment_value_8,2026-02-23,2026-02-23,INVOIC-008,INVOIC-008,true,true,K-008,PROJEC-008,reminders_value_8
ORG-1001,1237.50,1237.50,1237.50,1237.50,comment_value_9,1237.50,creditedinvoice_value_9,DKK,customer_value_9,CUSTOM-009,2026-03-02,ehfsendstatus_value_9,FINANC-009,invoicecomment_value_9,2026-03-02,2026-03-02,INVOIC-009,INVOIC-009,true,true,K-009,PROJEC-009,reminders_value_9
ORG-1002,1375.00,1375.00,1375.00,1375.00,comment_value_10,1375.00,creditedinvoice_value_10,EUR,customer_value_10,CUSTOM-010,2026-03-09,ehfsendstatus_value_10,FINANC-010,invoicecomment_value_10,2026-03-09,2026-03-09,INVOIC-010,INVOIC-010,false,false,K-010,PROJEC-010,reminders_value_10
ORG-1003,1512.50,1512.50,1512.50,1512.50,comment_value_11,1512.50,creditedinvoice_value_11,GBP,customer_value_11,CUSTOM-011,2026-03-16,ehfsendstatus_value_11,FINANC-011,invoicecomment_value_11,2026-03-16,2026-03-16,INVOIC-011,INVOIC-011,true,true,K-011,PROJEC-011,reminders_value_11
ORG-1004,1650.00,1650.00,1650.00,1650.00,comment_value_12,1650.00,creditedinvoice_value_12,USD,customer_value_12,CUSTOM-012,2026-03-23,ehfsendstatus_value_12,FINANC-012,invoicecomment_value_12,2026-03-23,2026-03-23,INVOIC-012,INVOIC-012,true,true,K-012,PROJEC-012,reminders_value_12
