OrgId,Balance,ENZ_CREATED_AT,ENZ_MODIFIED_AT,Number
ORG-1001,137.50,2026-01-05,2026-01-05,KEY-001
ORG-1002,275.00,2026-01-12,2026-01-12,KEY-002
ORG-1003,412.50,2026-01-19,2026-01-19,KEY-003
ORG-1004,550.00,2026-01-26,2026-01-26,KEY-004
ORG-1001,687.50,2026-02-02,2026-02-02,KEY-005
ORG-1002,825.00,2026-02-09,2026-02-09,KEY-006
ORG-1003,962.50,2026-02-16,2026-02-16,KEY-007
ORG-1004,1100.00,2026-02-23,2026-02-23,KEY-008
ORG-1001,1237.50,2026-03-02,2026-03-02,KEY-009
ORG-1002,1375.00,2026-03-09,2026-03-09,KEY-010
ORG-1003,1512.50,2026-03-16,2026-03-16,KEY-011
ORG-1004,1650.00,2026-03-23,2026-03-23,KEY-012
