OrgId,account,amountInBaseCurrency,date,entryType,FinancialYearId,fromDate,invoiceNumber,text,toDate,voucherNumber,year
ORG-1001,1510,137.50,2026-01-05,entrytype_value_1,FINANC-001,2026-01-05,INVOIC-001,text_value_1,2026-01-05,VOUCHE-001,year_value_1
ORG-1002,1930,275.00,2026-01-12,entrytype_value_2,FINANC-002,2026-01-12,INVOIC-002,text_value_2,2026-01-12,VOUCHE-002,year_value_2
ORG-1003,2440,412.50,2026-01-19,entrytype_value_3,FINANC-003,2026-01-19,INVOIC-003,text_value_3,2026-01-19,VOUCHE-003,year_value_3
ORG-1004,2611,550.00,2026-01-26,entrytype_value_4,FINANC-004,2026-01-26,INVOIC-004,text_value_4,2026-01-26,VOUCHE-004,year_value_4
ORG-1001,3011,687.50,2026-02-02,entrytype_value_5,FINANC-005,2026-02-02,INVOIC-005,text_value_5,2026-02-02,VOUCHE-005,year_value_5
ORG-1002,3041,825.00,2026-02-09,entrytype_value_6,FINANC-006,2026-02-09,INVOIC-006,text_value_6,2026-02-09,VOUCHE-006,year_value_6
ORG-1003,4010,962.50,2026-02-16,entrytype_value_7,FINANC-007,2026-02-16,INVOIC-007,text_value_7,2026-02-16,VOUCHE-007,year_value_7
ORG-1004,5010,1100.00,2026-02-23,entrytype_value_8,FINANC-008,2026-02-23,INVOIC-008,text_value_8,2026-02-23,VOUCHE-008,year_value_8
ORG-1001,7010,1237.50,2026-03-02,entrytype_value_9,FINANC-009,2026-03-02,INVOIC-009,text_value_9,2026-03-02,VOUCHE-009,year_value_9
ORG-1002,1510,1375.00,2026-03-09,entrytype_value_10,FINANC-010,2026-03-09,INVOIC-010,text_value_10,2026-03-09,VOUCHE-010,year_value_10
ORG-1003,1930,1512.50,2026-03-16,entrytype_value_11,FINANC-011,2026-03-16,INVOIC-011,text_value_11,2026-03-16,VOUCHE-011,year_value_11
ORG-1004,2440,1650.00,2026-03-23,entrytype_value_12,FINANC-012,2026-03-23,INVOIC-012,text_value_12,2026-03-23,VOUCHE-012,year_value_12
