OrgId,account,amountInBaseCurrency,date,entryType,invoiceNumber,text,voucherNumber
ORG-1001,1510,137.50,2026-01-05,entrytype_value_1,INVOIC-001,text_value_1,VOUCHE-001
ORG-1002,1930,275.00,2026-01-12,entrytype_value_2,INVOIC-002,text_value_2,VOUCHE-002
ORG-1003,2440,412.50,2026-01-19,entrytype_value_3,INVOIC-003,text_value_3,VOUCHE-003
ORG-1004,2611,550.00,2026-01-26,entrytype_value_4,INVOIC-004,text_value_4,VOUCHE-004
ORG-1001,3011,687.50,2026-02-02,entrytype_value_5,INVOIC-005,text_value_5,VOUCHE-005
ORG-1002,3041,825.00,2026-02-09,entrytype_value_6,INVOIC-006,text_value_6,VOUCHE-006
ORG-1003,4010,962.50,2026-02-16,entrytype_value_7,INVOIC-007,text_value_7,VOUCHE-007
ORG-1004,5010,1100.00,2026-02-23,entrytype_value_8,INVOIC-008,text_value_8,VOUCHE-008
ORG-1001,7010,1237.50,2026-03-02,entrytype_value_9,INVOIC-009,text_value_9,VOUCHE-009
ORG-1002,1510,1375.00,2026-03-09,entrytype_value_10,INVOIC-010,text_value_10,VOUCHE-010
ORG-1003,1930,1512.50,2026-03-16,entrytype_value_11,INVOIC-011,text_value_11,VOUCHE-011
ORG-1004,2440,1650.00,2026-03-23,entrytype_value_12,INVOIC-012,text_value_12,VOUCHE-012
