OrgId,code,CostCenterId,dateFrom,dateTo,description,id,objectKindDbId,ProjectId,text1,text2
ORG-1001,code_value_1,137.50,2026-01-05,2026-01-05,description_value_1,KEY-001,OBJECT-001,PROJEC-001,text1_value_1,text2_value_1
ORG-1002,code_value_2,275.00,2026-01-12,2026-01-12,description_value_2,KEY-002,OBJECT-002,PROJEC-002,text1_value_2,text2_value_2
ORG-1003,code_value_3,412.50,2026-01-19,2026-01-19,description_value_3,KEY-003,OBJECT-003,PROJEC-003,text1_value_3,text2_value_3
ORG-1004,code_value_4,550.00,2026-01-26,2026-01-26,description_value_4,KEY-004,OBJECT-004,PROJEC-004,text1_value_4,text2_value_4
ORG-1001,code_value_5,687.50,2026-02-02,2026-02-02,description_value_5,KEY-005,OBJECT-005,PROJEC-005,text1_value_5,text2_value_5
ORG-1002,code_value_6,825.00,2026-02-09,2026-02-09,description_value_6,KEY-006,OBJECT-006,PROJEC-006,text1_value_6,text2_value_6
ORG-1003,code_value_7,962.50,2026-02-16,2026-02-16,description_value_7,KEY-007,OBJECT-007,PROJEC-007,text1_value_7,text2_value_7
ORG-1004,code_value_8,1100.00,2026-02-23,2026-02-23,description_value_8,KEY-008,OBJECT-008,PROJEC-008,text1_value_8,text2_value_8
ORG-1001,code_value_9,1237.50,2026-03-02,2026-03-02,description_value_9,KEY-009,OBJECT-009,PROJEC-009,text1_value_9,text2_value_9
ORG-1002,code_value_10,1375.00,2026-03-09,2026-03-09,description_value_10,KEY-010,OBJECT-010,PROJEC-010,text1_value_10,text2_value_10
ORG-1003,code_value_11,1512.50,2026-03-16,2026-03-16,description_value_11,KEY-011,OBJECT-011,PROJEC-011,text1_value_11,text2_value_11
ORG-1004,code_value_12,1650.00,2026-03-23,2026-03-23,description_value_12,KEY-012,OBJECT-012,PROJEC-012,text1_value_12,text2_value_12
