receipt_ref,customer_ref,status,currency,total_amount,sold_at,register_id,exported_at
r_00001,pc_0037,PAID,USD,233.16,2026-06-25 22:40:57,reg_01,2026-08-03 22:40:57
r_00002,pc_0005,PAID,USD,215.61,2026-06-20 14:40:57,reg_01,2026-08-03 22:40:57
r_00003,pc_0033,PAID,USD,83.56,2026-07-24 19:40:57,reg_02,2026-08-03 22:40:57
r_00004,,PAID,USD,196.39,2026-07-28 14:40:57,reg_02,2026-08-03 22:40:57
r_00005,pc_0022, Paid ,USD,157.73,2026-07-12 00:40:57,reg_02,2026-08-03 22:40:57
r_00006,pc_0026,REFUNDED,USD,190.54,2026-07-26 22:40:57,reg_03,2026-08-03 22:40:57
r_00007,pc_0030,PAID,USD,15.16,2026-07-29 05:40:57,reg_03,2026-08-03 22:40:57
r_00008,,PAID,USD,91.02,2026-07-06 23:40:57,reg_01,2026-08-03 22:40:57
r_00009,pc_0036,PAID,USD,109.57,2026-06-28 07:40:57,reg_01,2026-08-03 22:40:57
r_00010,pc_0026,REFUNDED,USD,116.99,2026-07-04 04:40:57,reg_01,2026-08-03 22:40:57
r_00011,pc_0029,PAID,USD,41.04,2026-07-12 17:40:57,reg_02,2026-08-03 22:40:57
r_00012,,VOID,USD,81.11,2026-07-13 20:40:57,reg_02,2026-08-03 22:40:57
r_00013,pc_0039,VOID,USD,103.38,2026-07-10 12:40:57,reg_02,2026-08-03 22:40:57
r_00014,pc_0003,PAID,USD,61.80,2026-07-13 06:40:57,reg_03,2026-08-03 22:40:57
r_00015,pc_0032,PAID,USD,116.11,2026-07-28 19:40:57,reg_03,2026-08-03 22:40:57
r_00016,,PAID,USD,210.00,2026-06-23 15:40:57,reg_02,2026-08-03 22:40:57
r_00017,pc_0006,PAID,USD,235.43,2026-07-07 07:40:57,reg_02,2026-08-03 22:40:57
r_00018,pc_0023,PAID,USD,122.70,2026-08-02 06:40:57,reg_02,2026-08-03 22:40:57
r_00019,pc_0002,PAID,USD,191.24,2026-06-29 10:40:57,reg_03,2026-08-03 22:40:57
r_00020,,PAID,USD,83.69,2026-07-12 04:40:57,reg_01,2026-08-03 22:40:57
r_00021,pc_0022,PAID,USD,53.46,2026-07-30 16:40:57,reg_01,2026-08-03 22:40:57
r_00022,pc_0022,PAID,USD,13.48,2026-07-31 19:40:57,reg_03,2026-08-03 22:40:57
r_00023,pc_0033,REFUNDED,USD,235.49,2026-07-30 02:40:57,reg_03,2026-08-03 22:40:57
r_00024,,VOID,USD,201.39,2026-07-06 02:40:57,reg_01,2026-08-03 22:40:57
r_00025,pc_0017,VOID,USD,137.77,2026-07-11 10:40:57,reg_01,2026-08-03 22:40:57
r_00026,pc_0032,PAID,USD,20.32,2026-06-21 13:40:57,reg_03,2026-08-03 22:40:57
r_00027,pc_0008,PAID,USD,224.44,2026-08-02 07:40:57,reg_02,2026-08-03 22:40:57
r_00028,,PAID,USD,18.59,2026-07-16 01:40:57,reg_02,2026-08-03 22:40:57
r_00029,pc_0030,PAID,USD,91.47,2026-07-30 23:40:57,reg_02,2026-08-03 22:40:57
r_00030,pc_0012,PAID,USD,101.89,2026-07-12 10:40:57,reg_02,2026-08-03 22:40:57
r_00031,pc_0036,PAID,USD,222.19,2026-08-01 04:40:57,reg_01,2026-08-03 22:40:57
r_00032,,VOID,USD,203.38,2026-07-19 04:40:57,reg_03,2026-08-03 22:40:57
r_00033,pc_0025,PAID,USD,107.32,2026-07-31 14:40:57,reg_02,2026-08-03 22:40:57
r_00034,pc_0033,PAID,USD,197.64,2026-07-27 17:40:57,reg_01,2026-08-03 22:40:57
r_00035,pc_0039,PAID,USD,77.85,2026-06-21 21:40:57,reg_01,2026-08-03 22:40:57
r_00036,,PAID,USD,89.48,2026-07-15 04:40:57,reg_02,2026-08-03 22:40:57
r_00037,pc_0016,PAID,USD,120.68,2026-07-26 13:40:57,reg_03,2026-08-03 22:40:57
r_00038,pc_0017,PAID,USD,49.37,2026-06-22 19:40:57,reg_03,2026-08-03 22:40:57
r_00039,pc_0025,PAID,USD,86.15,2026-06-29 07:40:57,reg_03,2026-08-03 22:40:57
r_00040,,REFUNDED,USD,91.91,2026-06-28 07:40:57,reg_03,2026-08-03 22:40:57
r_00041,pc_0023,PAID,USD,181.14,2026-06-24 10:40:57,reg_03,2026-08-03 22:40:57
r_00042,pc_0021,PAID,USD,194.16,2026-07-20 13:40:57,reg_02,2026-08-03 22:40:57
r_00043,pc_0015,PAID,USD,248.82,2026-07-26 15:40:57,reg_01,2026-08-03 22:40:57
r_00044,,PAID,USD,73.42,2026-07-16 16:40:57,reg_03,2026-08-03 22:40:57
r_00045,pc_0019,PAID,USD,28.72,2026-07-19 07:40:57,reg_01,2026-08-03 22:40:57
r_00046,pc_0024,REFUNDED,USD,73.67,2026-07-31 13:40:57,reg_01,2026-08-03 22:40:57
r_00047,pc_0006,PAID,USD,49.02,2026-08-02 07:40:57,reg_03,2026-08-03 22:40:57
r_00048,,PAID,USD,192.16,2026-06-21 13:40:57,reg_02,2026-08-03 22:40:57
r_00049,pc_0035,PAID,USD,205.63,2026-07-25 08:40:57,reg_02,2026-08-03 22:40:57
r_00050,pc_0032,PAID,USD,225.45,2026-07-10 04:40:57,reg_03,2026-08-03 22:40:57
r_00051,pc_0019,PAID,USD,104.26,2026-07-02 02:40:57,reg_01,2026-08-03 22:40:57
r_00052,,PAID,USD,102.66,2026-06-29 09:40:57,reg_02,2026-08-03 22:40:57
r_00053,pc_0038,PAID,USD,229.17,2026-07-15 13:40:57,reg_02,2026-08-03 22:40:57
r_00054,pc_0012,PAID,USD,39.90,2026-07-22 14:40:57,reg_02,2026-08-03 22:40:57
r_00055,pc_0033,REFUNDED,USD,234.00,2026-07-25 03:40:57,reg_01,2026-08-03 22:40:57
r_00056,,PAID,USD,42.03,2026-07-04 07:40:57,reg_01,2026-08-03 22:40:57
r_00057,pc_0004,PAID,USD,18.81,2026-06-30 04:40:57,reg_01,2026-08-03 22:40:57
r_00058,pc_0004,PAID,USD,232.49,2026-07-20 14:40:57,reg_03,2026-08-03 22:40:57
r_00059,pc_0028,PAID,USD,29.14,2026-07-21 16:40:57,reg_02,2026-08-03 22:40:57
r_00060,,PAID,USD,143.11,2026-07-12 04:40:57,reg_02,2026-08-03 22:40:57
r_00061,pc_0020,PAID,USD,42.09,2026-07-18 17:40:57,reg_02,2026-08-03 22:40:57
r_00062,pc_0007,PAID,USD,232.16,2026-07-24 11:40:57,reg_02,2026-08-03 22:40:57
r_00063,pc_0032,PAID,USD,11.74,2026-07-05 09:40:57,reg_03,2026-08-03 22:40:57
r_00064,,PAID,USD,111.73,2026-07-22 18:40:57,reg_01,2026-08-03 22:40:57
r_00065,pc_0013,PAID,USD,167.88,2026-07-14 01:40:57,reg_01,2026-08-03 22:40:57
r_00066,pc_0016,PAID,USD,75.61,2026-06-25 01:40:57,reg_01,2026-08-03 22:40:57
r_00067,pc_0018,PAID,USD,135.12,2026-07-22 08:40:57,reg_03,2026-08-03 22:40:57
r_00068,,PAID,USD,132.97,2026-07-18 01:40:57,reg_03,2026-08-03 22:40:57
r_00069,pc_0011,VOID,USD,156.44,2026-07-16 02:40:57,reg_02,2026-08-03 22:40:57
r_00070,pc_0010,PAID,USD,242.69,2026-07-31 04:40:57,reg_03,2026-08-03 22:40:57
r_00071,pc_0040,PAID,USD,111.23,2026-07-15 14:40:57,reg_02,2026-08-03 22:40:57
r_00072,,PAID,USD,230.88,2026-07-31 02:40:57,reg_01,2026-08-03 22:40:57
r_00073,pc_0004,PAID,USD,224.34,2026-07-01 13:40:57,reg_03,2026-08-03 22:40:57
r_00074,pc_0022,PAID,USD,125.66,2026-07-27 20:40:57,reg_01,2026-08-03 22:40:57
r_00075,pc_0006,VOID,USD,9.12,2026-06-24 16:40:57,reg_03,2026-08-03 22:40:57
r_00076,,PAID,USD,65.17,2026-07-31 13:40:57,reg_03,2026-08-03 22:40:57
r_00077,pc_0013,PAID,USD,25.74,2026-07-23 21:40:57,reg_03,2026-08-03 22:40:57
r_00078,pc_0033,PAID,USD,232.89,2026-07-25 06:40:57,reg_01,2026-08-03 22:40:57
r_00079,pc_0005,PAID,USD,81.14,2026-06-23 14:40:57,reg_01,2026-08-03 22:40:57
r_00080,,PAID,USD,245.25,2026-07-17 22:40:57,reg_03,2026-08-03 22:40:57
r_00081,pc_0012,PAID,USD,171.92,2026-06-24 10:40:57,reg_03,2026-08-03 22:40:57
r_00082,pc_0006,PAID,USD,7.39,2026-08-02 16:40:57,reg_03,2026-08-03 22:40:57
r_00083,pc_0032,PAID,USD,159.23,2026-07-26 22:40:57,reg_03,2026-08-03 22:40:57
r_00084,,PAID,USD,130.93,2026-07-02 22:40:57,reg_03,2026-08-03 22:40:57
r_00085,pc_0002,REFUNDED,USD,163.30,2026-07-09 04:40:57,reg_02,2026-08-03 22:40:57
r_00086,pc_0033,VOID,USD,212.79,2026-07-13 11:40:57,reg_02,2026-08-03 22:40:57
r_00087,pc_0031,PAID,USD,14.60,2026-06-26 22:40:57,reg_01,2026-08-03 22:40:57
r_00088,,PAID,USD,176.03,2026-06-25 18:40:57,reg_02,2026-08-03 22:40:57
r_00089,pc_0034,PAID,USD,12.21,2026-07-01 19:40:57,reg_01,2026-08-03 22:40:57
r_00090,pc_0013,PAID,USD,181.03,2026-07-24 20:40:57,reg_03,2026-08-03 22:40:57
r_00091,pc_0015,PAID,USD,17.18,2026-07-14 11:40:57,reg_01,2026-08-03 22:40:57
r_00092,,REFUNDED,USD,228.82,2026-07-02 06:40:57,reg_02,2026-08-03 22:40:57
r_00093,pc_0012,VOID,USD,98.32,2026-07-04 12:40:57,reg_02,2026-08-03 22:40:57
r_00094,pc_0004,PAID,USD,122.23,2026-07-23 14:40:57,reg_03,2026-08-03 22:40:57
r_00095,pc_0012,PAID,USD,40.95,2026-07-16 22:40:57,reg_01,2026-08-03 22:40:57
r_00096,,PAID,USD,4.18,2026-06-27 10:40:57,reg_02,2026-08-03 22:40:57
r_00097,pc_0023,REFUNDED,USD,187.38,2026-07-26 16:40:57,reg_02,2026-08-03 22:40:57
r_00098,pc_0031,PAID,USD,132.00,2026-07-29 21:40:57,reg_01,2026-08-03 22:40:57
r_00099,pc_0034,PAID,USD,113.47,2026-07-27 06:40:57,reg_03,2026-08-03 22:40:57
r_00100,,VOID,USD,176.98,2026-07-29 05:40:57,reg_02,2026-08-03 22:40:57
r_00101,pc_0029,REFUNDED,USD,153.75,2026-06-29 05:40:57,reg_03,2026-08-03 22:40:57
r_00102,pc_0007,PAID,USD,58.06,2026-07-17 23:40:57,reg_02,2026-08-03 22:40:57
r_00103,pc_0029,PAID,USD,185.17,2026-07-10 20:40:57,reg_03,2026-08-03 22:40:57
r_00104,,PAID,USD,131.09,2026-07-21 10:40:57,reg_01,2026-08-03 22:40:57
r_00105,pc_0003,PAID,USD,155.41,2026-07-03 06:40:57,reg_02,2026-08-03 22:40:57
r_00106,pc_0027,PAID,USD,13.80,2026-07-04 14:40:57,reg_03,2026-08-03 22:40:57
r_00107,pc_0040,PAID,USD,165.31,2026-06-20 20:40:57,reg_01,2026-08-03 22:40:57
r_00108,,PAID,USD,19.56,2026-07-02 09:40:57,reg_03,2026-08-03 22:40:57
r_00109,pc_0032,PAID,USD,203.48,2026-07-11 11:40:57,reg_03,2026-08-03 22:40:57
r_00110,pc_0022,PAID,USD,64.97,2026-07-15 01:40:57,reg_03,2026-08-03 22:40:57
r_00111,pc_0037,PAID,USD,58.78,2026-06-24 03:40:57,reg_03,2026-08-03 22:40:57
r_00112,,PAID,USD,64.68,2026-07-22 14:40:57,reg_02,2026-08-03 22:40:57
r_00113,pc_0034,VOID,USD,168.96,2026-07-02 15:40:57,reg_03,2026-08-03 22:40:57
r_00114,pc_0008,PAID,USD,27.44,2026-06-30 21:40:57,reg_02,2026-08-03 22:40:57
r_00115,pc_0021,PAID,USD,95.06,2026-07-10 06:40:57,reg_01,2026-08-03 22:40:57
r_00116,,PAID,USD,112.76,2026-07-11 05:40:57,reg_03,2026-08-03 22:40:57
r_00117,pc_0029,VOID,USD,54.66,2026-06-27 00:40:57,reg_02,2026-08-03 22:40:57
