id,order_id,product_id,quantity,price,discount,_fivetran_synced,_fivetran_deleted
o_00001_l1,o_00001,p_013,1,64.20,0.00,2026-06-30 14:19:50,false
o_00002_l1,o_00002,p_037,3,354.61,0.00,2026-07-21 19:25:50,false
o_00003_l1,o_00003,p_046,1,424.87,42.49,2026-06-16 16:28:50,false
o_00003_l2,o_00003,p_056,2,319.52,0.00,2026-06-16 16:28:50,false
o_00003_l3,o_00003,p_047,3,81.86,0.00,2026-06-16 16:28:50,false
o_00004_l1,o_00004,p_025,3,299.71,74.93,2026-06-22 03:39:50,false
o_00005_l1,o_00005,p_002,2,372.68,0.00,2026-07-04 21:36:50,false
o_00005_l2,o_00005,p_017,3,151.27,0.00,2026-07-04 21:36:50,false
o_00005_l3,o_00005,p_043,3,499.04,0.00,2026-07-04 21:36:50,false
o_00006_l1,o_00006,p_044,2,266.54,0.00,2026-07-24 22:29:50,false
o_00006_l2,o_00006,p_044,1,264.59,26.46,2026-07-24 22:29:50,false
o_00007_l1,o_00007,p_014,3,405.57,0.00,2026-07-25 05:18:50,false
o_00007_l2,o_00007,p_050,3,334.35,0.00,2026-07-25 05:18:50,false
o_00007_l3,o_00007,p_050,3,293.85,73.46,2026-07-25 05:18:50,false
o_00008_l1,o_00008,p_002,3,298.29,29.83,2026-06-25 04:21:50,false
o_00008_l2,o_00008,p_009,3,242.31,60.58,2026-06-25 04:21:50,false
o_00008_l3,o_00008,p_001,2,489.89,122.47,2026-06-25 04:21:50,false
o_00009_l1,o_00009,p_043,2,167.90,41.98,2026-06-22 02:36:50,false
o_00009_l2,o_00009,p_037,3,187.91,0.00,2026-06-22 02:36:50,false
o_00009_l3,o_00009,p_034,2,261.45,0.00,2026-06-22 02:36:50,false
o_00009_l4,o_00009,p_041,1,238.48,0.00,2026-06-22 02:36:50,false
o_00010_l1,o_00010,p_055,1,369.56,0.00,2026-07-15 14:59:50,false
o_00011_l1,o_00011,p_046,1,152.51,0.00,2026-07-21 18:12:50,false
o_00011_l2,o_00011,p_018,2,174.59,0.00,2026-07-21 18:12:50,false
o_00011_l3,o_00011,p_050,2,370.84,0.00,2026-07-21 18:12:50,false
o_00012_l1,o_00012,p_009,2,404.08,0.00,2026-06-19 06:05:50,false
o_00013_l1,o_00013,p_033,2,117.62,29.41,2026-06-20 12:58:50,false
o_00013_l2,o_00013,p_035,3,72.39,7.24,2026-06-20 12:58:50,false
o_00014_l1,o_00014,p_035,2,328.91,82.23,2026-07-14 07:30:50,false
o_00014_l2,o_00014,p_040,2,317.39,31.74,2026-07-14 07:30:50,false
o_00014_l3,o_00014,p_003,2,99.79,0.00,2026-07-14 07:30:50,false
o_00014_l4,o_00014,p_008,2,156.27,0.00,2026-07-14 07:30:50,false
o_00015_l1,o_00015,p_035,3,166.24,0.00,2026-07-16 14:19:50,false
o_00015_l2,o_00015,p_054,3,384.98,96.25,2026-07-16 14:19:50,false
o_00015_l3,o_00015,p_033,2,201.28,50.32,2026-07-16 14:19:50,false
o_00016_l1,o_00016,p_017,3,406.98,40.70,2026-07-06 23:59:50,false
